iter	Logloss
0	0.6551682427
1	0.6207384912
2	0.5904077438
3	0.5600753997
4	0.5395115891
5	0.5153359518
6	0.4990227271
7	0.4829883057
8	0.4702887274
9	0.4548567057
10	0.4423956076
11	0.4313351993
12	0.4208577021
13	0.4116159136
14	0.402243446
15	0.3961923222
16	0.3901220186
17	0.3840506366
18	0.3775688482
19	0.3733433227
20	0.3694505698
21	0.3653652672
22	0.3603640897
23	0.3568002859
24	0.3528537719
25	0.3488469378
26	0.3459973937
27	0.3435574527
28	0.3413671098
29	0.3382280804
30	0.3352359261
31	0.3332895259
32	0.331087769
33	0.3297493988
34	0.3275607253
35	0.3254942963
36	0.32416367
37	0.3223512915
38	0.3211250184
39	0.3198754704
40	0.318252652
41	0.3164201985
42	0.3153728609
43	0.3141447186
44	0.313160724
45	0.3122859923
46	0.3114432614
47	0.3104914788
48	0.309761994
49	0.3090821631
50	0.3084473354
51	0.3077499547
52	0.306596573
53	0.3059340639
54	0.3054115958
55	0.3048656152
56	0.3041430517
57	0.3034628856
58	0.3024108959
59	0.3018918341
60	0.301107411
61	0.3004690019
62	0.2998962091
63	0.2991728115
64	0.298749941
65	0.2982561274
66	0.2976706428
67	0.2973339476
68	0.2967612637
69	0.2960948126
70	0.2956387895
71	0.295294178
72	0.2949324536
73	0.2945404252
74	0.2942179106
75	0.293815452
76	0.2933581988
77	0.2930274498
78	0.2926375395
79	0.292307088
80	0.2919255728
81	0.2915920001
82	0.2912341463
83	0.2908292439
84	0.2904551399
85	0.2899946206
86	0.289716471
87	0.2893962045
88	0.2890650214
89	0.2888035219
90	0.2885532542
91	0.2882704636
92	0.2879209683
93	0.2875410395
94	0.2872979101
95	0.2870333605
96	0.28669149
97	0.2863806349
98	0.2860387169
99	0.2857129385
100	0.2855047431
101	0.2852776042
102	0.2851081892
103	0.2848392263
104	0.2845570306
105	0.2842864274
106	0.2839822117
107	0.2837278208
108	0.2834955998
109	0.2832598672
110	0.2830283886
111	0.2828682162
112	0.2826726937
113	0.2824477549
114	0.282302092
115	0.2819891413
116	0.2817949683
117	0.2815604464
118	0.2813876036
119	0.2811778943
120	0.2810362989
121	0.2808394371
122	0.280708061
123	0.2804781866
124	0.2803540044
125	0.2802111936
126	0.2799347683
127	0.279757552
128	0.2796158367
129	0.2794463461
130	0.2793182307
131	0.2791335464
132	0.2789664545
133	0.2788213663
134	0.2785838032
135	0.2784480914
136	0.2783035893
137	0.2781224055
138	0.2778917574
139	0.2776533393
140	0.2773927384
141	0.2772101146
142	0.2770410867
143	0.2769244284
144	0.2767793062
145	0.2766292361
146	0.2765058094
147	0.2762557486
148	0.2761550294
149	0.2759968512
150	0.2758122611
151	0.2756700039
152	0.2755223355
153	0.2753548166
154	0.2752249171
