iter	Passed	Remaining
0	408	1020023
1	851	1063417
2	1286	1070804
3	1708	1066265
4	2142	1068913
5	2531	1052274
6	2944	1048536
7	3321	1034540
8	3691	1021747
9	4072	1014054
10	4484	1014697
11	4867	1009134
12	5254	1005250
13	5614	996951
14	6000	994028
15	6384	991119
16	6716	980946
17	7082	976552
18	7500	979386
19	7887	978078
20	8290	978677
21	8653	974716
22	9089	978880
23	9450	974969
24	9830	973206
25	10206	971209
26	10552	966541
27	10926	964686
28	11277	960928
29	11633	957860
30	12048	959590
31	12421	958023
32	12777	955232
33	13219	958776
34	13590	957183
35	13938	954010
36	14296	951692
37	14653	949373
38	15028	948323
39	15410	947745
40	15777	946269
41	16152	945301
42	16532	944633
43	16885	942545
44	17265	941936
45	17632	940648
46	18045	941836
47	18451	942585
48	18859	943377
49	19255	943515
50	19594	940910
51	19883	936075
52	20256	935257
53	20681	936776
54	21092	937676
55	21488	937833
56	21831	935677
57	22207	935001
58	22571	933851
59	22963	933850
60	23372	934514
61	23771	934755
62	24135	933627
63	24559	934781
64	24956	934904
65	25312	933511
66	25657	931708
67	26000	929899
68	26377	929314
69	26775	929507
70	27174	929662
71	27546	928923
72	27920	928272
73	28336	928984
74	28748	929524
75	29146	929632
76	29567	930408
77	29961	930347
78	30308	928812
79	30665	927623
80	31024	926534
81	31407	926141
82	31754	924712
83	32122	923899
84	32483	922901
85	32854	922231
86	33213	921192
87	33552	919644
88	33900	918357
89	34268	917621
90	34687	918263
91	35062	917732
92	35417	916654
93	35786	915984
94	36203	916507
95	36633	917353
96	37037	917537
97	37426	917332
98	37837	917642
99	38256	918148
100	38641	917833
101	39021	917390
102	39407	917091
103	39802	916994
104	40210	917190
105	40587	916654
106	40981	916519
107	41369	916267
108	41718	915118
109	42069	914053
110	42407	912720
111	42773	912001
112	43141	911324
113	43523	910944
114	43877	909990
115	44236	909135
116	44580	908000
117	44940	907192
118	45286	906108
119	45660	905600
120	46000	904415
121	46367	903779
122	46690	902294
123	47052	901593
124	47433	901238
125	47772	900097
126	48164	899957
127	48525	899242
128	48899	898765
129	49213	897195
130	49581	896634
131	49932	895758
132	50306	895307
133	50669	894659
134	51041	894172
135	51388	893259
136	51779	893094
137	52124	892155
138	52474	891318
139	52823	890451
140	53186	889839
141	53558	889367
142	53909	888561
143	54282	888119
144	54649	887588
145	54988	886588
146	55321	885524
147	55608	883730
148	55955	882894
149	56300	882040
150	56687	881852
151	57064	881502
152	57541	882686
153	57897	881999
154	58307	882136
155	58706	882096
156	59165	882954
157	59601	883454
158	59966	882904
159	60346	882563
160	60742	882466
161	61105	881881
162	61484	881528
163	61881	881434
164	62270	881220
165	62618	880430
166	63037	880638
167	63388	879899
168	63780	879723
169	64139	879084
170	64511	878638
171	64863	877918
172	65228	877376
173	65560	876394
174	65908	875642
175	66308	875575
176	66656	874822
177	67003	874056
178	67374	873612
179	67734	873019
180	68056	871946
181	68426	871492
182	68764	870635
183	69116	869972
184	69483	869479
185	69801	868396
186	70155	867749
187	70496	866958
188	70871	866585
189	71243	866164
190	71592	865483
191	71937	864750
192	72356	864902
193	72725	864459
194	73109	864187
195	73476	863727
196	73846	863291
197	74223	862943
198	74580	862365
199	74981	862286
200	75351	861857
201	75734	861576
202	76076	860820
203	76420	860108
204	76795	859739
205	77155	859198
206	77521	858729
207	77904	858444
208	78265	857925
209	78595	857070
210	78946	856437
211	79304	855893
212	79640	855105
213	79986	854438
214	80333	853772
215	80667	852980
216	81025	852449
217	81354	851612
218	81727	851235
219	82081	850663
220	82438	850128
221	82821	849851
222	83205	849594
223	83562	849057
224	83933	848657
225	84322	848444
226	84698	848107
227	85052	847540
228	85397	846885
229	85756	846383
230	86122	845941
231	86470	845322
232	86855	845065
233	87213	844556
234	87582	844142
235	87978	843992
236	88334	843460
237	88795	843929
238	89159	843472
239	89551	843273
240	89900	842679
241	90221	841815
242	90570	841223
243	90972	841123
244	91360	840888
245	91758	840746
246	92081	839913
247	92430	839329
248	92773	838690
249	93130	838175
250	93449	837323
251	93813	836875
252	94159	836270
253	94511	835720
254	94851	835061
255	95220	834671
256	95610	834452
257	96030	834496
258	96447	834516
259	96855	834450
260	97258	834337
261	97627	833932
262	98037	833881
263	98426	833645
264	98824	833481
265	99221	833313
266	99565	832695
267	99965	832546
268	100324	832055
269	100651	831304
270	100992	830672
271	101367	830317
272	101742	829966
273	102086	829360
274	102408	828581
275	102763	828063
276	103151	827817
277	103524	827454
278	103873	826889
279	104200	826162
280	104565	825730
281	104903	825093
282	105250	824521
283	105593	823925
284	105959	823507
285	106271	822675
286	106597	821951
287	106941	821370
288	107289	820817
289	107651	820381
290	108006	819882
291	108429	819907
292	108802	819547
293	109199	819366
294	109581	819071
295	109933	818557
296	110288	818062
297	110666	817741
298	111060	817540
299	111408	816995
300	111797	816749
301	112139	816170
302	112473	815522
303	112880	815412
304	113246	815004
305	113606	814552
306	113969	814121
307	114325	813644
308	114713	813385
309	115067	812897
310	115398	812241
311	115776	811918
312	116111	811298
313	116504	811079
314	116929	811085
315	117290	810638
316	117636	810097
317	118029	809878
318	118443	809794
319	118819	809459
320	119176	808991
321	119568	808759
322	119919	808246
323	120259	807670
324	120635	807327
325	121000	806918
326	121348	806395
327	121716	805999
328	122111	805785
329	122470	805334
330	122889	805282
331	123260	804903
332	123620	804459
333	123981	804020
334	124319	803437
335	124655	802840
336	124986	802211
337	125368	801916
